country_code,year,gdp_current_usd,gdp_per_capita_usd,agriculture_pct_gdp,population
ARB,1972,59970718932.0004,470.23,14.6123487696557,127535560
ARB,1973,79130725986.8478,602.51,12.4622275088733,131335660
ARB,1974,152199035091.115,1125.04,7.75253886443889,135282861
ARB,1975,168169966031.31,1205.56,7.98421521256419,139495837
ARB,1976,210007567495.429,1458.24,7.39184911899622,144014135
ARB,1977,242286792667.265,1630.47,7.00398094956589,148599336
ARB,1978,265416211837.584,1728.32,7.35224798543616,153568663
ARB,1979,358135553984.577,2251.66,5.646932808138,159054118
ARB,1980,486438763949.335,2954.25,4.78534506414653,164657321
ARB,1981,494934288111.785,2911.11,5.18183790824018,170015485
ARB,1982,463099887499.949,2640.7,6.08314132605439,175370356
ARB,1983,437476513138.035,2417.35,6.80225767761055,180973288
ARB,1984,440187316546.138,2357.3,7.45120176771369,186733957
ARB,1985,432863846846.03,2247.9,8.05234252679525,192563243
ARB,1986,405451959728.242,2042.48,9.42957027964495,198509771
ARB,1987,431233175938.527,2108.47,9.66331698590864,204524595
ARB,1988,429362637000.525,2041.96,10.5907879038732,210269696
ARB,1989,457356344756.136,2117.69,11.2320503822641,215969068
ARB,1990,641684045874.297,2875.13,10.4940467047996,223184294
ARB,1991,467929266012.123,2048.71,12.2231242329296,228402316
ARB,1992,467773383888.633,1996.29,8.86155925610122,234321565
ARB,1993,478901764895.936,1987.75,9.0111139652873,240926205
ARB,1994,499875724097.082,2018.67,9.95825779257858,247626514
ARB,1995,528474798399.241,2081.0,9.24226572756774,253952538
ARB,1996,570906157108.378,2193.86,8.9518881878298,260229121
ARB,1997,614595338335.664,2305.61,8.4676830891826,266565183
ARB,1998,598783412688.275,2192.59,9.35418941485691,273094199
ARB,1999,665404837896.43,2378.91,8.41399664136018,279709634
ARB,2000,763400003917.068,2664.13,7.34330524800753,286548096
ARB,2001,744722772315.71,2536.69,7.80053035934023,293580252
ARB,2002,746650656664.553,2483.11,7.82073509939699,300691509
ARB,2003,830076413454.428,2696.67,7.45584583133428,307815105
ARB,2004,987304981951.166,3133.7,6.61713230697988,315060277
ARB,2005,1210081969427.04,3750.7,5.82687697381646,322628451
ARB,2006,1439461108230.61,4355.06,5.59918260735862,330526310
ARB,2007,1674641032780.09,4940.7,5.60533067737075,338947976
ARB,2008,2118071078804.52,6091.93,5.08487649997185,347684619
ARB,2009,1829849574764.63,5134.45,6.14797951839261,356386673
ARB,2010,2161397546202.94,5944.95,5.69095013201033,363568534
ARB,2011,2573067811497.98,6915.83,5.12687606147852,372054934
ARB,2012,2813567531715.43,7384.11,4.65022581848911,381030177
ARB,2013,2883689839002.54,7376.03,4.7640741333166,390954281
ARB,2014,2937035588682.67,7338.35,4.97937287519455,400231008
ARB,2015,2580328583417.41,6290.56,5.61711463955109,410190679
ARB,2016,2536564595458.87,6042.2,5.42373027814235,419808341
ARB,2017,2611323720520.0,6096.72,4.9760123743283,428315886
ARB,2018,2920829737234.67,6699.18,4.62238947180673,435998060
ARB,2019,2965285548936.01,6674.34,4.79134395024651,444281315
ARB,2020,2604104981819.8,5739.41,5.60548271072935,453723239
ARB,2021,3085141461685.6,6697.41,4.87546801574335,460646603
ARB,2022,3747416641077.45,7950.36,4.33056895649596,471352066
ARB,2023,3622495663981.78,7513.9,4.96899737457755,482105978
ARB,2024,3735881442514.34,7583.81,5.38212011018352,492612632
CEB,1970,272115195628.928,2744.91,6.74750310256327,99134548
CEB,1971,272115195628.928,2731.11,6.74750310256327,99635258
CEB,1972,272115195628.928,2711.47,6.74750310256327,100357161
CEB,1973,272115195628.928,2691.21,6.74750310256327,101112680
CEB,1974,272115195628.928,2669.37,6.74750310256327,101939916
CEB,1975,272115195628.928,2645.48,6.74750310256327,102860571
CEB,1976,272115195628.928,2622.14,6.74750310256327,103776068
CEB,1977,272115195628.928,2601.06,6.74750310256327,104616884
CEB,1978,272115195628.928,2583.47,6.74750310256327,105329397
CEB,1979,272115195628.928,2568.37,6.74750310256327,105948616
CEB,1980,272115195628.928,2554.08,6.74750310256327,106541316
CEB,1981,272115195628.928,2540.06,6.74750310256327,107129392
CEB,1982,272115195628.928,2525.89,6.74750310256327,107730380
CEB,1983,272115195628.928,2512.66,6.74750310256327,108297837
CEB,1984,272115195628.928,2500.18,6.74750310256327,108838073
CEB,1985,272115195628.928,2488.75,6.74750310256327,109338285
CEB,1986,272115195628.928,2477.74,6.74750310256327,109824166
CEB,1987,272115195628.928,2467.13,6.74750310256327,110296425
CEB,1988,272115195628.928,2458.43,6.74750310256327,110686740
CEB,1989,272115195628.928,2455.88,6.74750310256327,110801640
CEB,1990,272115195628.928,2457.17,6.74750310256327,110743128
CEB,1991,246710634295.862,2233.29,6.74750310256327,110469467
CEB,1992,255096853829.453,2316.71,6.74750310256327,110111454
CEB,1993,270374645291.362,2457.01,6.74750310256327,110041924
CEB,1994,308675977161.455,2805.59,6.74750310256327,110021594
CEB,1995,394762398480.378,3593.18,6.74750310256327,109864246
CEB,1996,417518097817.205,3808.56,6.35018331842465,109626194
CEB,1997,411143082438.382,3757.41,6.13899689891431,109422013
CEB,1998,449843473353.657,4118.0,5.46273377519677,109238340
CEB,1999,436027644107.052,3998.02,4.68103657032319,109060951
CEB,2000,429412709571.523,3959.62,4.37905387132443,108447824
CEB,2001,469501416107.35,4360.96,4.59443358833489,107660041
CEB,2002,528524764911.334,4941.34,4.08320372084052,106959751
CEB,2003,634291134326.277,5948.85,3.92775874177327,106624167
CEB,2004,763490469817.591,7180.27,4.35141305815547,106331716
CEB,2005,885715817927.209,8352.51,3.69662884714467,106041911
CEB,2006,1001314786967.89,9466.69,3.49533703657685,105772481
CEB,2007,1264257753875.72,11997.27,3.33089582518213,105378748
CEB,2008,1530264815688.71,14573.69,3.29172453328814,105001883
CEB,2009,1289259547165.21,12302.04,3.05124085605314,104800475
CEB,2010,1319443729249.66,12635.75,2.9606019608525,104421447
CEB,2011,1458155270134.3,13997.3,3.39882401312078,104174038
CEB,2012,1361899009858.4,13104.07,3.15471936779231,103929494
CEB,2013,1420222538112.93,13712.67,3.40491043717542,103570062
CEB,2014,1467451281263.28,14208.41,3.27916971979306,103280478
CEB,2015,1297141271990.05,12596.89,2.93244364442644,102973167
CEB,2016,1321561415743.83,12874.7,2.93959576881542,102647939
CEB,2017,1467501784248.85,14339.82,3.0765215602674,102337501
CEB,2018,1656383422202.66,16227.25,2.8086324477749,102074201
CEB,2019,1684318282245.77,16534.93,2.71589688065229,101864274
CEB,2020,1678294256145.3,16581.35,2.80601417152088,101215763
CEB,2021,1926347717339.0,19223.93,2.7955608567157,100205732
CEB,2022,1954419184114.96,19530.16,2.93065631646351,100071871
CEB,2023,2273205742208.3,22690.37,2.68285388574743,100183707
CEB,2024,2462005273603.48,24604.81,2.44194375643594,100061963
CSS,1970,2268330542.34162,730.7,8.5884145418176,3104308
CSS,1971,2457968135.09375,780.66,8.7551754502964,3148560
CSS,1972,2734457344.6905,858.38,8.94648495494723,3185617
CSS,1973,3173389131.65134,987.05,7.6667507274484,3215024
CSS,1974,4201310614.82803,1295.58,9.57605174908466,3242803
CSS,1975,4819825581.33935,1474.07,10.1239620579999,3269733
CSS,1976,4937767512.99323,1497.92,8.42533724619213,3296410
CSS,1977,5937525886.22228,1786.95,7.35514296507352,3322722
CSS,1978,6776416498.50876,2023.79,6.94751782277753,3348386
CSS,1979,8405785521.3914,2491.9,6.33143841429131,3373242
CSS,1980,10876340879.3427,3199.78,5.51403258389048,3399087
CSS,1981,11977463255.1586,3496.71,5.04129246840443,3425354
CSS,1982,13292712867.0251,3851.96,4.49080458833551,3450895
CSS,1983,13189051711.1814,3793.64,4.26008722447797,3476621
CSS,1984,13689070378.954,3908.46,3.654388794569,3502418
CSS,1985,13794627075.9123,3907.2,4.35128467952969,3530570
CSS,1986,11773697053.1201,3307.34,5.07185388804866,3559870
CSS,1987,12334469174.3296,3439.6,5.16489137324769,3586018
CSS,1988,12745727415.7592,3530.08,5.21086742171271,3610609
CSS,1989,12606272526.7095,3468.59,4.77946587523726,3634409
CSS,1990,13573367099.5127,3713.7,4.75406750350465,3654949
CSS,1991,13946896742.2113,3792.22,4.78734182710825,3677765
CSS,1992,14242986936.367,3842.68,4.97510717119857,3706523
CSS,1993,13815833341.5092,3698.86,5.15519074436595,3735156
CSS,1994,14788599388.7446,3929.16,5.12903556237151,3763806
CSS,1995,15732201525.3694,4144.51,5.49439041349377,3795917
CSS,1996,16941993239.8086,4424.44,5.39923535091277,3829184
CSS,1997,20074931520.308,5198.51,4.45335897818642,3861673
CSS,1998,21643804665.0628,5558.82,3.86699184860461,3893594
CSS,1999,23393912390.0523,5959.88,3.66704166369058,3925229
CSS,2000,25625542926.4456,6477.26,3.29931714845595,3956229
CSS,2001,26504661126.1591,6647.63,3.08090184200379,3987087
CSS,2002,27742046925.4435,6903.07,3.16975163537173,4018796
CSS,2003,30589389405.8968,7551.09,2.93377732939207,4050990
CSS,2004,33597817092.3498,8233.61,2.62836993207813,4080569
CSS,2005,38224293958.7281,9439.34,2.25496480906197,4049468
CSS,2006,44325879983.2222,10883.05,3.79274592838599,4072929
CSS,2007,49739222993.1148,12134.91,3.45494604460921,4098855
CSS,2008,57296315261.9305,13890.13,3.32890136727533,4124966
CSS,2009,47913515379.1154,11554.06,4.07201041944933,4146899
CSS,2010,53047626322.0273,12711.09,3.90580730598485,4173335
CSS,2011,56828150706.0989,13526.95,3.5670037936334,4201107
CSS,2012,60427163825.0841,14290.63,3.71438952670355,4228445
CSS,2013,62064949752.4886,14577.17,3.79409223745019,4257682
CSS,2014,64075043973.1037,14947.94,3.69104107664632,4286546
CSS,2015,62545153672.0285,14497.54,4.06153294296815,4314191
CSS,2016,58073168349.5106,13376.81,3.70327661919124,4341333
CSS,2017,59690101434.3488,13671.14,3.9772467122839,4366140
CSS,2018,61252081219.8672,13896.74,3.59492168752629,4407658
CSS,2019,62185458482.7062,13995.85,3.31592639180767,4443134
CSS,2020,53320869430.7059,11957.22,3.86692217059211,4459302
CSS,2021,62687149265.4471,13995.27,3.55437206436495,4479167
CSS,2022,78506430710.7309,17456.31,3.32157532858077,4497310
CSS,2023,79534673452.944,17596.54,3.50923107144464,4519904
CSS,2024,90344593407.0488,19903.81,3.41414928376689,4539060
EAP,1970,127182556289.611,113.92,39.9688281218726,1116395242
EAP,1971,136580265754.987,119.11,38.6980423049798,1146649477
EAP,1972,155518448869.276,132.34,37.4400396622777,1175176176
EAP,1973,195616567916.784,162.65,37.5901427716144,1202715705
EAP,1974,221665588687.632,180.41,36.4860769216733,1228688547
EAP,1975,248772601176.036,198.67,34.8748251185089,1252174248
EAP,1976,252942981187.157,198.55,33.8059575212011,1273922384
